,Date,User,Tweet,Label;;;;
0,2022-11-29 18:57:27+00:00,majalahjakarta,[HOAKS] Dedi Mulyadi Meninggal Dunia Usai Diracun https://t.co/0lBpBq2kOH,Negatif;;;;
1,2022-11-29 16:14:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
2,2022-11-29 14:44:42+00:00,SAFANews3,"VIRAL, AMBU ANNE RATNA MUSTIKA SINDIR DEDI MULYADI SAAT JADI BUPATI PURWAKARTA Tonton video lengkapnya : https://t.co/5LaJ3K15UY",Positif;;;;
3,2022-11-29 14:12:49+00:00,SAFANews3,"VIRAL, AMBU ANNE RATNA MUSTIKA SINDIR DEDI MULYADI SAAT JADI BUPATI PURW... https://t.co/5LaJ3K1DKw via @YouTube #DEDIMULYADI #BUPATIPURWAKARTA #AMBUANE",Positif;;;;
4,2022-11-29 11:04:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,Positif;;;;
5,2022-11-29 09:35:08+00:00,chatnews_id,Anne Ratna Mustika Diduga Sindir Dedi Mulyadi saat Jadi Bupati #anneratnamustika #dedimulyadi https://t.co/Hhqbk0gHZ7,Negatif;;;;
6,2022-11-29 07:59:00+00:00,golkarpedia,"Viral! Dedi Mulyadi Kunjungi Lokasi Terjauh Korban Gempa Cianjur, Dapati Satu Tenda Plastik Dihuni 30 Orang,Positif;;;;
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden,Positif;;;;
https://t.co/ND4mBwWs7r",Negatif;;;;
7,2022-11-29 07:13:08+00:00,dimazF19,@SiaranBolaLive Mirip dedi mulyadi min,Positif;;;;
8,2022-11-29 06:48:51+00:00,BMendut,"SAMA-SAMA HADIRI NIKAHAN KIKI AMALIA, DEDI MULYADI LAKUKAN INI DEMI BISA... https://t.co/ieN7D5CP8i lewat @YouTube",Positif;;;;
9,2022-11-29 06:01:36+00:00,21BeritaTerkini,"Ambu Anne Kembali Ungkit Utang Miliaran Waktu Masih Serasi dengan Kang Dedi Mulyadi: Maunya Dibayarin, Kamu Ga Malu? https://t.co/bu9zZ1VRRR",Negatif;;;;
10,2022-11-29 04:33:03+00:00,wahananewsdotco,"Bongkar Utang Miliaran Dedi Mulyadi, Bupati Purwakarta Dihujat Netizen https://t.co/eJFPrLa8oF #Purwakarta #BupatiPurwakarta #DediMulyadi #Viral",Positif;;;;
11,2022-11-29 04:21:40+00:00,man_suparman19,"Seperti Tak Mau Kalah dengan Dedi Mulyadi, Bupati Purwakarta Ini Berikan Bantuan 12 Truk Sembako ke Cianjur https://t.co/ILur17pppA",Positif;;;;
12,2022-11-29 04:03:20+00:00,DediMul16480144,@SriAsih52 Oky siap,Positif;;;;
13,2022-11-29 03:50:41+00:00,DediMul00829069,"#Demokratkabbogorjuara,Positif;;;;
#dedechandrasasmita,Positif;;;;
#milenialdemokrat,Positif;;;;
#HMR,Positif;;;;
#Bacalegdapil2kabbogor""GUSTRINI"",Positif;;;;
#ALL U best friends https://t.co/MP608XwU2N",Positif;;;;
14,2022-11-29 03:34:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
15,2022-11-29 02:39:29+00:00,pikiran_rakyat,"Viral! Anne Ratna Diduga Sindir Dedi Mulyadi saat Masih jadi Bupati: Yang Bener, Jangan Pencitraan Terus,Negatif;;;;
#AnneRatna #DediMulyadi #BupatiPurwakarta,Positif;;;;
;;;;
Selengkapnya: https://t.co/kTkEAWNT0o via @YouTube",Positif;;;;
16,2022-11-28 21:51:53+00:00,InvestorID,Dedi Mulyadi Ingatkan Hal Ini Bila Impor Beras Dilakukan https://t.co/EWgnfFshjH,Positif;;;;
17,2022-11-28 20:23:58+00:00,dedimul00217004,Spesial untuk kamu! dedi mulyadi kasih kamu modal ikutan Suporter Setia GarudaFood. Kumpulkan 5 stamps dan dapatkan Kupon promo hingga Rp300rb! https://t.co/PUA5cA0b4t #Tokopedia lewat @Tokopedia,Positif;;;;
18,2022-11-28 18:09:40+00:00,Beritasatu,Dedi Mulyadi Sejak Kecil jadi Fan Sejati Argentina https://t.co/UN2qbbz6TN,Positif;;;;
19,2022-11-28 16:59:10+00:00,kabarpol,"Jelang Nataru, Kang Dedi Mulyadi: Harga Pangan Pasar Cikopo Masih Stabil https://t.co/fX9hnOu8Xo",Positif;;;;
20,2022-11-28 16:59:07+00:00,kabarpolitik,"Jelang Nataru, Kang Dedi Mulyadi: Harga Pangan Pasar Cikopo Masih Stabil https://t.co/zzZbmksyvx",Positif;;;;
21,2022-11-28 16:54:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZYfIj,Positif;;;;
22,2022-11-28 16:19:58+00:00,Beritasatu,Dedi Mulyadi Beri Peringatan Jika Impor Beras Dilakukan https://t.co/0kbPRLdc7c,Positif;;;;
23,2022-11-28 15:04:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,Positif;;;;
24,2022-11-28 14:31:10+00:00,man_suparman19,"Dedi Mulyadi, Hadiri Pernikahan Kiki Amalia dan  Agung Nugraha, Rela Nunggu 1 Jam Saksikan Akad Nikah https://t.co/4tN6IjUMAY",Negatif;;;;
25,2022-11-28 14:09:59+00:00,Yadi79993339,@DediMulyadi71 Assalamualaikum kang Dedi Mulyadi sehat kang,Positif;;;;
26,2022-11-28 13:48:33+00:00,TINTAHIJAUcom,Woalah Kang Dedi Mulyadi Kena 'Begal' Emak-emak Pengupas Bawang Sidak Kepokmas Jelang Nataru https://t.co/W98s8b912l,Negatif;;;;
27,2022-11-28 13:44:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,Positif;;;;
28,2022-11-28 12:50:33+00:00,sariagri_id,Sidak ke Pasar Cikopo Dedi Mulyadi Klaim Harga Pangan Masih Stabil https://t.co/d9vXPLEsvb #sariagri #pertanian,Positif;;;;
29,2022-11-28 12:34:04+00:00,yodha_media,"Fans Sahabat Kang Dedi Mulyadi  Turut Membantu Korban Bencana Cianjur → https://t.co/SyiuDlm7PI,Positif;;;;
;;;;
#dedimulyadi #sahabat",Positif;;;;
30,2022-11-28 11:21:15+00:00,golkar2024kepri,"kang @DediMulyadi71 wakil rakyat Golkar di Komisi IV DPR RI, bergerak cepat saat terjadi bencana gempa bumi Cianjur.,Positif;;;;
Turun langsung ke area bencana untuk membagikan bantuan untuk para korban.,Positif;;;;
#golkar #indonesia #g24 #riau #kepri #DediMulyadi https://t.co/WOmEyGgTls",Positif;;;;
31,2022-11-28 11:13:33+00:00,viewjabar,"Viral Video Bupati Purwakarta Anne Ratna Mustika Beberkan Hutang DBH Era Dedi Mulyadi, Kata &amp,Negatif;quot;Sia&amp;quot; Terlontar https://t.co/tla7Vyj4yf",None
32,2022-11-28 11:07:04+00:00,intipseleb,"Bayari Utang Hingga Rp28 Miliar, Dedi Mulyadi Disentil Anne Ratna: Jadi Bupati yang Bener https://t.co/54DZgn63vd https://t.co/EhDlqktap1",Negatif;;;;
33,2022-11-28 09:22:11+00:00,De_Liput,VIDEO: Sindir Dedi Mulyadi? Ambu Anne Bicara soal Hutang dan Pencitraan https://t.co/KM14XZIJYb,Neegatif;;;;
34,2022-11-28 09:08:05+00:00,Irwan7189185522,@tvOneNews Bagusan Kang Dedi Mulyadi.,Positif;;;;
35,2022-11-28 09:05:06+00:00,De_Liput,Sindir Dedi Mulyadi? Ambu Anne Bicara soal Hutang dan Pencitraan | Liputan6 https://t.co/P4K0gnCU5H,Negatif;;;;
