,Date,User,Tweet,Label
0,2022-12-13 16:53:15+00:00,aprella234,"berasa ditampar sama ucapan kang Dedi Mulyadi:
“orang kalo setiap hari cerita masa lalu, tidak akan punya masa depan. tapi cerita masa depan tanpa bangun pagi sia-sia.”",None
1,2022-12-13 12:44:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
2,2022-12-13 11:19:09+00:00,abcdefuckyu,"Jika benar nanti RK masuk golkar untuk di capres/cawapreskan oleh KIB tapi menurutku bukan itu tujuan utama ridwan kamil tetapi bagaimana suara golkar di jabar aman karena saingan terberat RK di pilgub nanti dedi mulyadi, nanti RK akan berpasangan dengan Bima Arya #opinipolitik",None
3,2022-12-13 09:30:47+00:00,kompascom,"Perseteruan sejoli yang batal menikah karena permintaan mas kawin sertifikat rumah akhirnya berhasil didamaikan anggota DPR RI, Dedi Mulyadi. https://t.co/iPAJkAjOeW",None
4,2022-12-13 08:52:40+00:00,suaradotcom,"Dijodohkan Netizen dengan Dedi Mulyadi, Bupati Karawang  Cellica Nurrachadiana Berikan Jawaban Mengagetkan  https://t.co/d8H95MNgPI",None
5,2022-12-13 08:49:35+00:00,sianakceria,"Membuka hati tidak semudah 
Membuka pintu, 
Menutup hati tidak semudah
Menutup pintu, 
Mengunci hati tidak semudah
Mengunci pintu, 
Pintu aja ada macetnya apalagi hati

-kang dedi mulyadi",None
6,2022-12-13 08:01:43+00:00,Tribun_Bogor,"Viral Anaknya Minta Mahar Sertifikat, Sosok Ayah Yessy Terkuak, Pekerjannya Bikin Dedi Mulyadi Kagum
 
https://t.co/gtG3BSk7JW lewat @tribunnews",None
7,2022-12-13 04:19:02+00:00,wahananewsdotco,"Dijodohkan dengan Dedi Mulyadi, Bupati Karawang Pamer Foto Bareng Ambu Anne https://t.co/1SCst5g4oy #Purwakarta #Karawang #BupatiPurwakarta #BupatiKarawang",None
8,2022-12-13 03:47:22+00:00,DediMul50903429,@rockygerung_rg @Catatan_ali7 Pemimpin yg sangat sederhana,None
9,2022-12-13 03:43:26+00:00,DediMul50903429,@Japsathub @Tuahsakato999 Ijazah nya terpancar dari isi kepala nya,None
10,2022-12-13 03:35:29+00:00,Dedimul53402259,Pagii https://t.co/4dYQ6Pf6cM,None
11,2022-12-13 01:36:04+00:00,medianaFS,Dedi Mulyadi Damaikan Pasangan Yang Gagal Nikah Akibat Minta Mahar Sertifikat Tanah https://t.co/Y4Lls8psLq,None
12,2022-12-13 00:24:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
13,2022-12-12 23:59:01+00:00,Suara_sumedang,"Plot Twist Bareng Dedi Mulyadi, Usai Koar  Koar Soal Batal Nikah Ryan Dono dan Yessy Salaman Lagi https://t.co/mNLWvYOP7a",None
14,2022-12-12 23:56:06+00:00,Suara_sumedang,Dedi Mulyadi Buka-bukaan Soal Biaya Pilkada Anne Ratna Mustika Capai Miliaran Rupiah: Apakah Itu Bukan Termasuk Nafkah? https://t.co/BbGAIu12UA,None
